""	"word"	"tag"	"age"	"mlu"	"speaker"	"corpus"	"child"	"sent"	"lastsent"
"55"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"179"	"176"
"56"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"183"	"179"
"57"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"184"	"183"
"58"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"185"	"184"
"59"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"203"	"185"
"60"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"205"	"203"
"61"	"back"	"adv"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"242"	"205"
"62"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"189"	"-1"
"63"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"191"	"189"
"64"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"194"	"191"
"65"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"221"	"194"
"66"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"228"	"221"
"67"	"ball"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"229"	"228"
"68"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"37"	"-1"
"69"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"77"	"37"
"70"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"150"	"77"
"71"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"155"	"150"
"72"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"158"	"155"
"73"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"177"	"158"
"74"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"178"	"177"
"75"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"190"	"178"
"76"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"204"	"190"
"77"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"207"	"204"
"78"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"212"	"207"
"79"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"227"	"212"
"80"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"229"	"227"
"81"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"231"	"229"
"82"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"233"	"231"
"83"	"be"	"aux"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"249"	"233"
"84"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"1"	"-1"
"85"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"5"	"1"
"86"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"6"	"5"
"87"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"19"	"6"
"88"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"23"	"19"
"89"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"24"	"23"
"90"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"26"	"24"
"91"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"27"	"26"
"92"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"31"	"27"
"93"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"33"	"31"
"94"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"38"	"33"
"95"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"39"	"38"
"96"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"40"	"39"
"97"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"41"	"40"
"98"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"49"	"41"
"99"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"50"	"49"
"100"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"51"	"50"
"101"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"53"	"51"
"102"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"55"	"53"
"103"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"56"	"55"
"104"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"57"	"56"
"105"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"58"	"57"
"106"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"59"	"58"
"107"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"62"	"59"
"108"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"65"	"62"
"109"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"67"	"65"
"110"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"68"	"67"
"111"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"70"	"68"
"112"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"73"	"70"
"113"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"74"	"73"
"114"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"82"	"74"
"115"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"91"	"82"
"116"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"92"	"91"
"117"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"93"	"92"
"118"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"94"	"93"
"119"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"95"	"94"
"120"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"96"	"95"
"121"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"97"	"96"
"122"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"98"	"97"
"123"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"111"	"98"
"124"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"114"	"111"
"125"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"120"	"114"
"126"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"126"	"120"
"127"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"133"	"126"
"128"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"136"	"133"
"129"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"139"	"136"
"130"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"147"	"139"
"131"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"148"	"147"
"132"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"152"	"148"
"133"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"157"	"152"
"134"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"161"	"157"
"135"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"166"	"161"
"136"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"181"	"166"
"137"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"185"	"181"
"138"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"187"	"185"
"139"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"188"	"187"
"140"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"189"	"188"
"141"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"190"	"189"
"142"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"192"	"190"
"143"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"193"	"192"
"144"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"194"	"193"
"145"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"201"	"194"
"146"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"207"	"201"
"147"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"220"	"207"
"148"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"234"	"220"
"149"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"246"	"234"
"150"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"252"	"246"
"151"	"be"	"cop"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"263"	"252"
"152"	"bear"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"82"	"-1"
"153"	"bear"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"83"	"82"
"154"	"bear"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"84"	"83"
"155"	"bear"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"85"	"84"
"156"	"bear"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"86"	"85"
"157"	"bet"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"78"	"-1"
"158"	"big"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"66"	"-1"
"159"	"big"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"105"	"66"
"160"	"bill"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"40"	"-1"
"161"	"blue"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"18"	"-1"
"162"	"boing"	"on"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"198"	"-1"
"163"	"boing"	"on"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"199"	"198"
"164"	"book"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"73"	"-1"
"165"	"book"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"79"	"73"
"166"	"boy"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"78"	"-1"
"167"	"bring"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"249"	"-1"
"168"	"bring"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"203"	"-1"
"169"	"bring"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"244"	"203"
"170"	"bring"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"245"	"244"
"171"	"bringing"	""	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"249"	"-1"
"172"	"brush"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"146"	"-1"
"173"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"117"	"-1"
"174"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"120"	"117"
"175"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"123"	"120"
"176"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"124"	"123"
"177"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"157"	"124"
"178"	"brush"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"158"	"157"
"179"	"but"	"conj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"62"	"-1"
"180"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"34"	"-1"
"181"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"62"	"34"
"182"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"63"	"62"
"183"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"64"	"63"
"184"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"74"	"64"
"185"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"75"	"74"
"186"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"77"	"75"
"187"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"78"	"77"
"188"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"88"	"78"
"189"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"89"	"88"
"190"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"102"	"89"
"191"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"107"	"102"
"192"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"121"	"107"
"193"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"124"	"121"
"194"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"137"	"124"
"195"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"176"	"137"
"196"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"183"	"176"
"197"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"185"	"183"
"198"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"230"	"185"
"199"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"242"	"230"
"200"	"can"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"254"	"242"
"201"	"check"	"part"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"38"	"-1"
"202"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"33"	"-1"
"203"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"49"	"33"
"204"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"50"	"49"
"205"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"95"	"50"
"206"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"98"	"95"
"207"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"173"	"98"
"208"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"232"	"173"
"209"	"chi"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"240"	"232"
"210"	"chis"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"221"	"-1"
"211"	"cold"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"161"	"-1"
"212"	"come"	""	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"206"	"-1"
"213"	"come"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"157"	"-1"
"214"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"9"	"-1"
"215"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"61"	"9"
"216"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"64"	"61"
"217"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"148"	"64"
"218"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"149"	"148"
"219"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"158"	"149"
"220"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"173"	"158"
"221"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"175"	"173"
"222"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"176"	"175"
"223"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"179"	"176"
"224"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"183"	"179"
"225"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"184"	"183"
"226"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"206"	"184"
"227"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"219"	"206"
"228"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"235"	"219"
"229"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"237"	"235"
"230"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"238"	"237"
"231"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"239"	"238"
"232"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"242"	"239"
"233"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"247"	"242"
"234"	"come"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"248"	"247"
"235"	"cookie"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"55"	"-1"
"236"	"cookie"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"139"	"55"
"237"	"cool"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"147"	"-1"
"238"	"cool"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"252"	"147"
"239"	"cow"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"105"	"-1"
"240"	"determined"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"185"	"-1"
"241"	"different"	"adj"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"127"	"-1"
"242"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"2"	"-1"
"243"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"9"	"2"
"244"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"20"	"9"
"245"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"32"	"20"
"246"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"36"	"32"
"247"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"42"	"36"
"248"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"47"	"42"
"249"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"48"	"47"
"250"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"62"	"48"
"251"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"63"	"62"
"252"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"151"	"63"
"253"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"163"	"151"
"254"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"164"	"163"
"255"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"171"	"164"
"256"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"174"	"171"
"257"	"do"	"mod"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"260"	"174"
"258"	"do"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"231"	"-1"
"259"	"do"	"n"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"233"	"231"
"260"	"do"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"69"	"-1"
"261"	"do"	"v"	"12.0"	"0.0"	"MOT"	"Rollins"	"jw12a"	"121"	"69"
